projection1												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection25												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection26												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection27												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection28												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection29												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection30												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection31												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
projection32												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	31	30	16	31
	2	1000uA	10kHz	x255	0	15	1	0	31	30	17	16
	3	1000uA	10kHz	x255	0	15	2	1	31	30	18	17
	4	1000uA	10kHz	x255	0	15	3	2	31	30	19	18
	5	1000uA	10kHz	x255	0	15	4	3	31	30	20	19
	6	1000uA	10kHz	x255	0	15	5	4	31	30	21	20
	7	1000uA	10kHz	x255	0	15	6	5	31	30	22	21
	8	1000uA	10kHz	x255	0	15	7	6	31	30	23	22
	9	1000uA	10kHz	x255	0	15	8	7	31	30	24	23
	10	1000uA	10kHz	x255	0	15	9	8	31	30	25	24
	11	1000uA	10kHz	x255	0	15	10	9	31	30	26	25
	12	1000uA	10kHz	x255	0	15	11	10	31	30	27	26
	13	1000uA	10kHz	x255	0	15	12	11	31	30	28	27
	14	1000uA	10kHz	x255	0	15	13	12	31	30	29	28
	15	1000uA	10kHz	x255	0	15	14	13	31	30	30	29
	16	1000uA	10kHz	x255	0	15	15	14	31	30	31	30
end												
